wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs,dmgObs,dmgPred
080001,0800010001,1993,1993/8/28,28.28568061,4.544000149,374732,53.1964035,50.39197922,0,0,137.931015,117.6467438,6.581160545,1038.440308,0,37.18484879,2.854404449,374.9866333,444.4496155,0,0,252.4544525,0,203.6408997,88.31430817,64.54290009,136.6803131,0,269.0072327,0,0,0,0,426.7649231,3958.888672,0,20845000,20845000,18588701.55
080002,0800020001,1993,1993/8/28,8.428457883,2.980000019,41801,21.23316765,21.27911949,0,0,53.36859131,42.97236252,0,395.4882202,0,10.81012821,0,149.3764191,151.1653748,0,0,97.10352325,0,75.8169632,32.6161499,21.84082031,53.86168289,0,97.51768494,0,0,0,0,120.9799576,1330.076294,0,7757000,7757000,18984047.24
080003,0800030002,1993,1993/8/28,39.30851614,8.217144012,41801,70.39977264,45.98360825,0,0,202.9871979,188.6285858,52.23094177,1643.402832,0,110.9226456,26.19210815,539.4411621,943.5179443,0,0,363.5812988,0,322.8948364,133.8659973,124.9926376,173.8600311,0,429.6376343,0,0,0,0,1187.932373,8517.332031,0,2635000,2635000,16160824.13
080003,0800030003,1993,1993/8/28,8.778929416,5.422221661,41801,19.94699097,19.65656662,0,0,51.57516479,42.01333237,1.230946541,374.3214111,0,12.5566988,0,134.3435516,156.9663239,0,0,92.90065002,0,74.97000885,33.02020264,23.84711838,50.40983582,0,99.057724,0,0,0,0,152.8419189,1412.913452,0,10539000,10539000,17757091.31
080003,0800030007,1993,1993/8/28,24.06619476,6.43599987,69500,56.64990234,51.1547699,0,0,158.8734741,111.584877,22.64675713,1043.605469,0,54.98521805,12.35548306,338.586731,535.6473999,0,0,256.4644775,0,218.0255432,96.39878845,83.61914825,126.6421432,0,298.4320068,0,0,0,0,703.9904175,5067.431152,0,4997000,4997000,16657307.34
080003,0800030009,1993,1993/8/28,30.38373589,5.242857456,27699,110.666687,119.5552673,0,0,331.9256592,27.8311367,24.56354904,956.6156616,0,36.72790527,21.0663414,212.3884125,482.7423401,0,0,342.9367981,0,250.4418793,118.0689545,114.7382584,140.924057,0,519.8609619,0,0,0,0,1052.726807,6062.02832,0,7097000,7097000,16339393.87
080005,0800050001,1993,1993/8/28,17.80323434,3.893750191,27699,50.10913849,59.90877533,1.027209997,0,152.4965057,27.51009941,9.962632179,524.9862061,0,17.71649361,7.520010471,148.2350769,236.3970795,0,0,171.1124115,0,125.4000397,61.18616486,59.18376923,72.96702576,0,181.3291626,0,0,3.8302598,0,491.388916,2831.865479,0,6023000,6023000,18516172.66
080006,0800060001,1993,1993/8/28,44.1469728,5.725532055,202207,173.5265961,214.2252197,7.455061436,0,569.9893799,19.20590401,35.07370758,1504.421631,0,43.83951187,33.53826141,384.1185303,675.9389648,0,0,570.6505737,0,362.5908203,180.1081238,188.5668488,214.1281128,0,555.1241455,0,0,14.17142105,0,1726.625977,9030.386719,0,10816000,10816000,16835942.25
080006,0800060003,1993,1993/8/28,12.84748543,5.949999809,27699,39.89857101,49.70015717,0,0,137.2122498,0,9.647871017,339.024353,0,10.02912521,9.622589111,80.58783722,159.0841827,0,0,137.8084412,0,81.72522736,40.66155243,41.12570953,49.9549942,0,133.3481903,0,0,0,0,413.969574,2137.706055,0,13905000,13905000,17408445.95
080008,0800080001,1993,1993/8/28,39.77254132,4.761538029,174508,156.5021667,188.7106781,39.45648956,0,452.5055542,4.769376755,12.58282089,1212.881958,0,16.97509384,12.35400867,407.9344482,414.6543884,0,0,402.7798157,0,308.1668091,151.7664032,223.8957367,146.8175354,0,318.4464722,0,0,78.46592712,0,1313.359741,6277.134277,0,2558000,2558000,18488979.63
080001,0800010001,1993,1993/11/15,28.28568061,4.544000149,374732,129.9759521,0,0,0,474.3862305,0,225.3956757,0,0,0,0,0,0,275.474884,31.34866333,0,0,0,0,0,0,0,94.03394318,0,0,7.433897972,172.8141632,1368.962646,3254.571045,0,68860000,68860000,18903839.44
080003,0800030002,1993,1993/11/15,39.30851614,8.217144012,41801,198.7296143,0,0,0,765.8431396,0,280.4368591,0,0,0,0,0,0,538.8786621,62.91725159,0,0,0,0,0,0,0,82.66408539,0,0,53.03256989,305.6829529,3221.908447,7269.900391,0,6165000,6165000,17079650.8
080003,0800030003,1993,1993/11/15,8.778929416,5.422221661,41801,47.24817276,0,0,0,169.3744965,0,82.15851593,0,0,0,0,0,0,102.1209106,11.59542847,0,0,0,0,0,0,0,36.2273941,0,0,1.390495777,63.45098877,504.7368164,1198.818481,0,44928000,44928000,18053835.95
080003,0800030007,1993,1993/11/15,24.06619476,6.43599987,69500,146.2111359,4.848722458,0,0,510.6820679,0,210.8246613,0,0,0,0,0,0,379.1128235,43.13961792,0,0,0,0,0,0,0,80.82530212,0,0,26.29726982,194.5392761,2015.234741,4554.882813,0,59293000,59293000,17168700.11
080005,0800050001,1993,1993/11/15,17.80323434,3.893750191,27699,117.093689,27.30916405,6.040585518,0,302.5845337,0,131.4334869,0,0,0,0,0,0,279.6008301,28.95419884,0,0,0,0,0,0,0,72.38272095,0,0,11.53596973,91.82641602,1128.905762,2499.06958,0,10701000,10701000,18604691.12
080006,0800060001,1993,1993/11/15,44.1469728,5.725532055,202207,368.7697449,113.501503,33.44604492,0,868.6657715,0,365.3684692,0,0,0,0,0,0,871.1065674,86.87113953,0,0,0,0,0,0,0,229.2874908,0,0,35.30595779,256.6052551,3505.509521,7917.319824,0,72564000,72564000,16977761.8
080007,0800070001,1993,1993/11/15,13.52375964,3.954545498,174508,96.2199173,12.65010548,1.150327682,0,195.6873627,0,79.48196411,0,0,0,0,0,0,170.5156555,16.4939003,0,0,0,0,0,0,0,65.06645966,0,0,1.812332273,53.58327103,559.1472168,1118.484375,0,19248000,19248000,18977017.96
080008,0800080001,1993,1993/11/15,39.77254132,4.761538029,174508,356.4859009,55.58018112,12.03469467,0,708.2647095,0,279.78479,0,0,0,0,0,0,632.5283203,60.09583282,0,0,0,0,0,0,0,238.863205,0,0,12.26449776,192.8529358,2115.96582,4311.02002,0,28948000,28948000,17975458.29
080001,0800010001,1996,1996/9/23,28.28568061,4.544000149,374732,0,0,0,256.6531067,282.2591858,0,2.60630703,364.4139404,0,0,0,0,139.4604034,330.0133057,0,351.7575684,162.6675873,0,0,30.96998024,1171.759277,26.84584999,0,0,0,0,681.4205933,140.5217743,4291.864746,0,140536000,140536000,19132857.79
