wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs
080001,0800010001,1993,1993/8/28,28.28568061,4.544000149,374732,1.880683171,1.78153674,0,0,4.876354821,4.159233267,0.232667569,36.71257983,0,1.314617431,0.100913409,13.25711898,15.7128839,0,0,8.925168038,0,7.199434317,3.122226733,2.281822417,4.832138034,0,9.510368033,0,0,0,0,15.08766676,139.9608772,0,20845000
080002,0800020001,1993,1993/8/28,8.428457883,2.980000019,41801,4.59511489,0,0,0,16.77125034,0,7.968543475,0,0,0,0,0,0,9.739022646,1.108287397,0,0,0,0,0,0,0,3.324436292,0,0,0.262814888,6.109598902,48.39772694,115.0607295,0,7757000
080003,0800030002,1993,1993/8/28,39.30851614,8.217144012,41801,0,0,0,9.073605483,9.978871984,0,0.092142277,12.88333646,0,0,0,0,4.930424173,11.66715096,0,12.43588843,5.750881144,0,0,1.094899595,41.42588236,0.949096837,0,0,0,0,24.09065571,4.96794743,151.7327727,0,2635000
080003,0800030003,1993,1993/8/28,8.778929416,5.422221661,41801,0.40386537,66.26471808,18.90178241,0,0.389639866,1.949030085,2.927934722,0,0,0,0.251770485,0.206479918,3.449816447,3.302134775,6.532949577,27.72872743,14.15734483,1.770946742,12.08447379,0,0,0,0,0,17.12445489,17.73034559,12.51420511,74.74693119,55.42406057,12.84024498,10539000
080003,0800030007,1993,1993/8/28,24.06619476,6.43599987,69500,7.597816958,8.434772553,32.12389522,0,1.642711399,0.097888469,6.428834111,5.209929224,0,50.18338038,1.424255005,4.427977044,98.92294344,2.582033284,0,3.493029312,1.701147082,1.21832538,0,0,0,0.574946009,49.4763563,13.02862512,40.91005761,62.42332661,63.28034877,14.94894648,0,0,4997000
080003,0800030009,1993,1993/8/28,30.38373589,5.242857456,27699,0,0,9.69022159,0,0,0.653550888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851178942,0,23.38593186,0,0,0.46546518,3.588835587,16.28631681,105.1914797,0,7097000
080005,0800050001,1993,1993/8/28,17.80323434,3.893750191,27699,18.81348694,0,2.09188325,0,0,0.066807569,5.601473223,9.46763582,1.312021584,0,0,0,0,22.12825381,1.514820496,0,0,0,3.64422444,0.900283171,12.27264355,5.202945469,8.731616156,0,0,11.1522476,184.329289,0.803726855,8.858404283,0,6023000
080006,0800060001,1993,1993/8/28,44.1469728,5.725532055,202207,2.51922332,2.524675307,0,0,6.331952066,5.098484576,0,46.92296333,0,1.282574863,0,17.72286474,17.93511658,0,0,11.5209122,0,8.995354102,3.869764832,2.591318675,6.390455246,0,11.57005069,0,0,0,0,14.35374766,157.8077879,0,10816000
080006,0800060003,1993,1993/8/28,12.84748543,5.949999809,27699,0,0.144740726,0,0,0.953812386,0,0.092686275,0.180553322,0,1.834442154,0,1.285903857,9.15656201,8.982858166,5.935198475,0.141903325,29.96200857,22.8580971,0,0,34.15159652,3.181926292,47.14005414,3.989916172,0,24.04772538,146.6113851,0,3.761530775,6.723875076,13905000
080008,0800080001,1993,1993/8/28,39.77254132,4.761538029,174508,1.790954723,1.169812874,0,0,5.163949643,4.798669712,1.328743664,41.80780639,0,2.821847693,0.666321467,13.72326445,24.00288887,0,0,9.249428229,0,8.21437358,3.405521512,3.179785194,4.422960931,0,10.92988687,0,0,0,0,30.22073814,216.6790525,0,2558000
080001,0800010001,1993,1993/11/15,28.28568061,4.544000149,374732,5.055637653,0,0,0,19.48288093,0,7.134251981,0,0,0,0,0,0,13.70895457,1.600601034,0,0,0,0,0,0,0,2.102956141,0,0,1.349136907,7.77650705,81.96464186,184.9446661,0,68860000
080003,0800030002,1993,1993/11/15,39.30851614,8.217144012,41801,0,0,0,0,0,20.93941237,0,0,17.65741369,0,0,9.98030407,0,0,0,0,2.285900051,15.32118665,0.339332654,0,1.255026976,19.0708183,0,0,0,0,14.13938279,240.0431551,13.58978014,0,6165000
080003,0800030003,1993,1993/11/15,8.778929416,5.422221661,41801,20.35706438,0,2.135312516,0,0,0.600882723,9.609538376,14.46522439,2.284685047,0,0,0,0,26.85833026,1.288128463,0,0,0,3.853301388,0.898664418,18.50468227,6.128381886,8.692811931,0,0.012722706,16.64696501,343.0910332,1.644813987,12.37649486,0,44928000
080003,0800030007,1993,1993/11/15,24.06619476,6.43599987,69500,2.272143905,2.239061928,0,0,5.874880905,4.785701123,0.14021602,42.63861724,0,1.430322333,0,15.30295384,17.8798936,0,0,10.58222998,0,8.539766673,3.761301757,2.716403931,5.742139323,0,11.28357677,0,0,0,0,17.41008632,160.943708,0,59293000
080005,0800050001,1993,1993/11/15,17.80323434,3.893750191,27699,5.381997112,0,0,0,19.29329744,0,9.358603087,0,0,0,0,0,0,11.63250162,1.320824889,0,0,0,0,0,0,0,4.126630069,0,0,0.158390131,7.227645396,57.49411944,136.5563413,0,10701000
