"year","dmgObs","dmgPred","code"
1993,397879000,319477861.392934,"08"
1996,211062000,93682505.6696111,"08"
1997,9604000,42527996.1288483,"08"
1998,43358000,109781715.333226,"08"
1999,70575000,60447290.1504059,"08"
2000,16409000,44800794.3122072,"08"
2001,13670000,21804931.7427274,"08"
2004,14864000,25142265.2674346,"08"
2006,29351000,47682166.7187937,"08"
2007,24509000,65905365.7135223,"08"
2009,14299000,-7826463.29060734,"08"
2011,16952000,17067676.4954176,"08"
2012,10365000,48734704.7095059,"08"
2019,222934000,206567963.429123,"08"
1993,2567704000,2538530839.97359,"12"
1994,247103000,418537169.788821,"12"
1995,3891911000,2101507163.00127,"12"
1996,7921170000,5431174537.84666,"12"
1997,13946000,31492840.625199,"12"
1998,23400000,33570207.2770642,"12"
1999,1523549000,2128820361.95034,"12"
2000,726700000,1392889541.38079,"12"
2001,490957000,699718717.369988,"12"
2002,509573000,534455176.349959,"12"
2003,400054000,755838752.119012,"12"
2004,2840246000,2549797002.5461,"12"
2005,1056293000,1612501968.04562,"12"
2006,1413243000,3557956016.49068,"12"
2007,458117000,228570914.046783,"12"
2008,52211000,118565925.667153,"12"
2009,131297000,196302485.315857,"12"
2010,233281000,317658427.222322,"12"
2011,124229000,177612312.356435,"12"
2012,19984000,67721890.5947531,"12"
2013,1779188000,1778395585.07435,"12"
2015,231910000,277473205.145114,"12"
2016,374143000,373390390.666705,"12"
2017,1093491000,1098791868.89524,"12"
2018,164827000,178984867.097239,"12"
2019,2231763000,1917902270.45256,"12"
1993,103000,22266491.0406864,"14"
1996,138409000,86941133.5752496,"14"
1998,148589000,322141103.736158,"14"
2002,60606000,71828503.9049226,"14"
2007,410987000,418628105.75299,"14"
2008,197677000,34594560.0821541,"14"
2010,97777000,158110868.823624,"14"
2011,43655000,6872009.65385924,"14"
2012,61606000,17774101.128115,"14"
2013,44275000,147001206.168833,"14"
2016,655000,27773070.1451625,"14"
2017,13948000,1367789.83820276,"14"
2018,25089000,-7928860.19753988,"14"
2019,1374909000,1310939251.6958,"14"
1993,2128525000,1677422150.86142,"830301"
1994,1000646000,342391391.404583,"830301"
1995,314967000,301083050.909649,"830301"
1996,317150000,414886686.61727,"830301"
1997,32320000,87414664.2194772,"830301"
1998,77043000,783327520.547434,"830301"
1999,5283541000,2122346968.74091,"830301"
2000,686340000,824699294.537621,"830301"
2001,20773000,234751911.841123,"830301"
2002,332592000,912503657.618521,"830301"
2004,510445000,1921943618.2485,"830301"
2005,36331000,126647982.47914,"830301"
2006,429184000,796459744.07307,"830301"
2007,122913000,746930722.982939,"830301"
2009,20063000,586859859.554704,"830301"
2010,17985000,171155934.660546,"830301"
2011,333799000,536436157.272636,"830301"
2013,58457000,293790190.739177,"830301"
2015,51262000,-109689590.315841,"830301"
2017,245470000,751455229.70828,"830301"
2019,9217750000,7714836098.2464,"830301"
1993,4709331000,585687480.784478,"830302"
1994,1244984000,162955283.523814,"830302"
1995,715592000,3546177785.54619,"830302"
1996,746995000,1811706986.80423,"830302"
1997,881848000,2845638686.41404,"830302"
1998,60915905000,47205485343.9232,"830302"
1999,4455924000,16692803937.4236,"830302"
2000,385749000,-763970174.557443,"830302"
2001,2614653000,-1488186.03464811,"830302"
2002,3387146000,5803103953.91944,"830302"
2003,94389000,974103430.571399,"830302"
2004,557177000,1348919500.65378,"830302"
2005,159541000,-506648747.123527,"830302"
2006,445698000,501121781.730568,"830302"
2007,561218000,894271437.590227,"830302"
2008,773710000,1556562921.05508,"830302"
2009,481656000,575639337.952564,"830302"
2010,18712000,207900176.818269,"830302"
2011,1870685000,3686610695.69747,"830302"
2012,433206000,1061480695.4464,"830302"
2013,39459000,115284016.477283,"830302"
2015,4103891000,4222357761.13951,"830302"
2016,51194000,470493438.401967,"830302"
2017,752583000,691799228.870271,"830302"
2018,36259000,117821672.259327,"830302"
2019,22462185000,19094881515.0859,"830302"
1993,12374964000,8762733183.09932,"830303"
1994,8077580000,5956280177.02868,"830303"
1995,5466719000,6047423310.23406,"830303"
1996,4543596000,4754732130.61012,"830303"
1997,2641004000,5182467189.41283,"830303"
1998,17393978000,16523282201.2907,"830303"
1999,12199157000,7791452844.55029,"830303"
2000,2156013000,4951801039.05282,"830303"
2001,24902087000,19629561711.5416,"830303"
2002,12686783000,13599852756.0101,"830303"
2003,1011598000,1850703388.89967,"830303"
2004,3624091000,6707989814.49036,"830303"
2005,683430000,1910168807.49006,"830303"
2006,2380084000,3353533684.4426,"830303"
2007,8949523000,10227854946.484,"830303"
2008,763157000,2604258181.30175,"830303"
2009,157827000,1744487499.26722,"830303"
2010,99754000,1257680579.02115,"830303"
2011,5072162000,6988035681.52934,"830303"
2012,808045000,1975478324.77622,"830303"
2013,1374445000,2272673775.80922,"830303"
2015,26305758000,18578457640.008,"830303"
2016,688753000,4051207331.64762,"830303"
2017,1364790000,7038441769.08249,"830303"
2018,300607000,3804942216.94736,"830303"
2019,60338309000,48052078824.185,"830303"
2020,937846000,1672198092.98801,"830303"
1993,3510500000,2774631900.92181,"830304"
1995,70263000,1034686320.44957,"830304"
1996,658524000,1563938948.79171,"830304"
1997,229745000,432624550.284423,"830304"
1998,2603113000,2475595896.82215,"830304"
1999,17715402000,10935359703.1496,"830304"
2000,1995518000,2058474870.27565,"830304"
2001,4090773000,5713440349.61804,"830304"
2002,2203227000,4954396904.78656,"830304"
2004,571170000,1069200751.49909,"830304"
2005,186689000,590920212.45004,"830304"
2006,121828000,531454149.647503,"830304"
2007,2080171000,1902392002.97018,"830304"
2009,30893000,139978854.812997,"830304"
2010,24413000,271799743.811665,"830304"
2011,113170000,1092572735.7439,"830304"
2013,90011000,178312116.397994,"830304"
2015,78391000,812157640.464641,"830304"
2016,576369000,2167902199.83955,"830304"
2017,378760000,594098330.843249,"830304"
2018,13725000,131705524.134601,"830304"
2019,17212107000,13128830078.3991,"830304"
1994,46137000,98078229.5932325,"830305"
1995,44553000,353395905.649658,"830305"
1996,113526000,323197745.217835,"830305"
1997,163924000,-221051384.168744,"830305"
1998,600889000,936589046.122525,"830305"
1999,2403882000,1727429803.42626,"830305"
2000,9129000,386625239.965206,"830305"
2001,2210001000,1160884780.58203,"830305"
2002,1654514000,1361788667.54841,"830305"
2003,19323000,176884663.37598,"830305"
2004,581223000,1030094243.40534,"830305"
2005,167392000,250880569.697049,"830305"
2007,1877998000,1719167601.21518,"830305"
2008,28684000,617460280.262459,"830305"
2011,54787000,867902335.955945,"830305"
2012,14477000,91005292.4061998,"830305"
2015,41217000,6940222.57965231,"830305"
2017,926266000,132661683.971094,"830305"
2018,376000,120684860.404205,"830305"
2019,4247871000,4065836034.29582,"830305"
1993,339945000,286427721.156118,"830307"
1994,517872000,619685597.799824,"830307"
1995,907679000,786747355.122865,"830307"
1996,465962000,677336012.868657,"830307"
1997,199251000,480567050.303162,"830307"
1998,1443491000,1227654959.60567,"830307"
1999,579488000,698238122.410537,"830307"
2001,780503000,340785629.153338,"830307"
2003,33047000,81842006.5918268,"830307"
2004,189533000,174882199.291501,"830307"
2007,173385000,244374458.298583,"830307"
2008,13463000,25113149.8612877,"830307"
2010,31872000,116989799.114889,"830307"
2011,1221681000,1261027809.70588,"830307"
2012,41013000,-4236012.69621748,"830307"
2013,155901000,354473579.080717,"830307"
2015,117697000,-36095037.3964381,"830307"
2017,370287000,424975195.879104,"830307"
2018,151876000,226495446.975708,"830307"
2019,2625856000,2372486943.12106,"830307"
1993,1083919000,1685663067.44834,"830308"
1994,1432008000,1552383394.11026,"830308"
1995,1099476000,1484623981.96362,"830308"
1996,743433000,532944839.363069,"830308"
1997,380076000,679221872.162554,"830308"
1998,2345605000,1977033222.83168,"830308"
1999,422733000,381131275.754972,"830308"
2000,3558345000,2481143042.57609,"830308"
2001,1391591000,1646361496.33525,"830308"
2002,1507378000,1428498827.93063,"830308"
2003,1002674000,399015817.162429,"830308"
2004,1051125000,2191408182.07466,"830308"
2005,41256000,42996645.7237343,"830308"
2006,4604000,27106163.5159802,"830308"
2007,927611000,482418756.747437,"830308"
2010,22203000,13481027.0481107,"830308"
2011,2947629000,2744033498.40164,"830308"
2012,309189000,436892395.396686,"830308"
2013,256893000,364144618.601599,"830308"
2015,450472000,344707504.710926,"830308"
2016,151391000,183171719.668297,"830308"
2017,520719000,637128767.710088,"830308"
2018,1157660000,843615464.026277,"830308"
2019,1968639000,2217303882.37404,"830308"
